Province_State,Country_Region,Lat,Long,Date,Year,Month,Confirmed,Deaths,Recovered
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-01 00:00:00,2020,April,4.0,0.0,5.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-02 00:00:00,2020,April,3.0,0.0,3.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-03 00:00:00,2020,April,4.0,0.0,7.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-04 00:00:00,2020,April,2.0,1.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-05 00:00:00,2020,April,3.0,0.0,10.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-06 00:00:00,2020,April,0.0,0.0,12.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-07 00:00:00,2020,April,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-08 00:00:00,2020,April,3.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-09 00:00:00,2020,April,1.0,0.0,7.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-10 00:00:00,2020,April,3.0,0.0,12.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-11 00:00:00,2020,April,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-12 00:00:00,2020,April,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-13 00:00:00,2020,April,102.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-14 00:00:00,2020,April,1.0,0.0,13.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-15 00:00:00,2020,April,0.0,1.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-16 00:00:00,2020,April,0.0,0.0,10.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-17 00:00:00,2020,April,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-18 00:00:00,2020,April,0.0,0.0,7.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-19 00:00:00,2020,April,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-20 00:00:00,2020,April,1.0,0.0,3.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-21 00:00:00,2020,April,0.0,0.0,1.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-22 00:00:00,2020,April,0.0,0.0,1.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-23 00:00:00,2020,April,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-24 00:00:00,2020,April,1.0,0.0,4.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-25 00:00:00,2020,April,1.0,0.0,1.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-26 00:00:00,2020,April,0.0,0.0,1.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-27 00:00:00,2020,April,0.0,0.0,1.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-28 00:00:00,2020,April,0.0,0.0,1.0
