Province_State,Country_Region,Lat,Long,Date,Year,Month,Confirmed,Deaths,Recovered
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-05 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-06 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-07 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-08 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-09 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-10 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-11 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-12 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-13 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-14 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-15 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-16 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-17 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-18 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-19 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-20 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-21 00:00:00,2020,October,1.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-22 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-23 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-24 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-25 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-26 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-27 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-28 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-29 00:00:00,2020,October,0.0,0.0,1.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-30 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-10-31 00:00:00,2020,October,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-11-01 00:00:00,2020,November,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-11-02 00:00:00,2020,November,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-11-03 00:00:00,2020,November,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-11-04 00:00:00,2020,November,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-11-05 00:00:00,2020,November,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-11-06 00:00:00,2020,November,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-11-07 00:00:00,2020,November,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-11-08 00:00:00,2020,November,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-11-09 00:00:00,2020,November,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-11-10 00:00:00,2020,November,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-11-11 00:00:00,2020,November,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-11-12 00:00:00,2020,November,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-11-13 00:00:00,2020,November,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-11-14 00:00:00,2020,November,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-11-15 00:00:00,2020,November,0.0,0.0,0.0
