Province_State,Country_Region,Lat,Long,Date,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,4/12/2020,103
Australian Capital Territory,Australia,-35.4735,149.0124,4/13/2020,102
Australian Capital Territory,Australia,-35.4735,149.0124,4/14/2020,103
Australian Capital Territory,Australia,-35.4735,149.0124,4/15/2020,103
Australian Capital Territory,Australia,-35.4735,149.0124,4/16/2020,103
Australian Capital Territory,Australia,-35.4735,149.0124,4/17/2020,103
Australian Capital Territory,Australia,-35.4735,149.0124,4/18/2020,103
Australian Capital Territory,Australia,-35.4735,149.0124,4/19/2020,103
Australian Capital Territory,Australia,-35.4735,149.0124,4/20/2020,104
Australian Capital Territory,Australia,-35.4735,149.0124,4/21/2020,104
Australian Capital Territory,Australia,-35.4735,149.0124,4/22/2020,104
Australian Capital Territory,Australia,-35.4735,149.0124,4/23/2020,104
Australian Capital Territory,Australia,-35.4735,149.0124,4/24/2020,105
Australian Capital Territory,Australia,-35.4735,149.0124,4/25/2020,106
Australian Capital Territory,Australia,-35.4735,149.0124,4/26/2020,106
Australian Capital Territory,Australia,-35.4735,149.0124,4/27/2020,106
Australian Capital Territory,Australia,-35.4735,149.0124,4/28/2020,106
Australian Capital Territory,Australia,-35.4735,149.0124,4/29/2020,106
Australian Capital Territory,Australia,-35.4735,149.0124,4/30/2020,106
Australian Capital Territory,Australia,-35.4735,149.0124,5/1/2020,106
Australian Capital Territory,Australia,-35.4735,149.0124,5/2/2020,106
Australian Capital Territory,Australia,-35.4735,149.0124,5/3/2020,106
Australian Capital Territory,Australia,-35.4735,149.0124,5/4/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/5/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/6/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/7/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/8/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/9/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/10/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/11/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/12/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/13/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/14/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/15/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/16/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/17/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/18/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/19/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/20/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/21/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/22/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/23/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/24/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/25/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/26/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/27/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/28/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/29/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/30/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,5/31/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,6/1/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,6/2/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,6/3/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,6/4/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,6/5/2020,107
Australian Capital Territory,Australia,-35.4735,149.0124,6/6/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/7/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/8/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/9/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/10/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/11/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/12/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/13/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/14/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/15/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/16/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/17/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/18/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/19/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/20/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/21/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/22/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/23/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/24/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/25/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/26/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/27/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/28/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/29/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,6/30/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,7/1/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,7/2/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,7/3/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,7/4/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,7/5/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,7/6/2020,108
Australian Capital Territory,Australia,-35.4735,149.0124,7/7/2020,111
Australian Capital Territory,Australia,-35.4735,149.0124,7/8/2020,112
Australian Capital Territory,Australia,-35.4735,149.0124,7/9/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/10/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/11/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/12/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/13/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/14/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/15/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/16/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/17/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/18/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/19/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/20/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/21/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/22/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/23/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/24/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/25/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/26/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/27/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/28/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/29/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/30/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,7/31/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/1/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/2/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/3/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/4/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/5/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/6/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/7/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/8/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/9/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/10/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/11/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/12/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/13/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/14/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/15/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/16/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/17/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/18/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/19/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/20/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/21/2020,113
