COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,VACCINES_USED
Bulgaria,BGR,EURO,OWID,9/21/2021 0:00,2481276,,35.694,,1289055,18.544,,4,Pfizer BioNTech - Comirnaty
Burkina Faso,BFA,AFRO,REPORTING,9/22/2021 0:00,254545,234490,1.218,1.122,168141,0.804,6/2/2021 0:00,1,SII - Covishield
Cabo Verde,CPV,AFRO,REPORTING,9/22/2021 0:00,402075,282236,72.317,50.763,119839,21.554,3/18/2021 0:00,2,Pfizer BioNTech - Comirnaty
Cabo Verde,CPV,AFRO,REPORTING,9/22/2021 0:00,402075,282236,72.317,50.763,119839,21.554,3/18/2021 0:00,2,SII - Covishield
Cambodia,KHM,WPRO,REPORTING,9/10/2021 0:00,20554497,11406989,122.941,68.228,9350408,55.927,2/10/2021 0:00,5,AstraZeneca - Vaxzevria
Cambodia,KHM,WPRO,REPORTING,9/10/2021 0:00,20554497,11406989,122.941,68.228,9350408,55.927,2/10/2021 0:00,5,Beijing CNBG - BBIBP-CorV
Cambodia,KHM,WPRO,REPORTING,9/10/2021 0:00,20554497,11406989,122.941,68.228,9350408,55.927,2/10/2021 0:00,5,Janssen - Ad26.COV 2.5
Cambodia,KHM,WPRO,REPORTING,9/10/2021 0:00,20554497,11406989,122.941,68.228,9350408,55.927,2/10/2021 0:00,5,SII - Covishield
Cambodia,KHM,WPRO,REPORTING,9/10/2021 0:00,20554497,11406989,122.941,68.228,9350408,55.927,2/10/2021 0:00,5,Sinovac - CoronaVac
Cameroon,CMR,AFRO,REPORTING,9/22/2021 0:00,459397,376195,1.731,1.417,83202,0.313,4/12/2021 0:00,2,Beijing CNBG - BBIBP-CorV
Cameroon,CMR,AFRO,REPORTING,9/22/2021 0:00,459397,376195,1.731,1.417,83202,0.313,4/12/2021 0:00,2,SII - Covishield
Canada,CAN,AMRO,REPORTING,9/17/2021 0:00,54807381,28543478,145.215,75.628,26263903,69.588,12/14/2020 0:00,3,Moderna - mRNA-1273
Canada,CAN,AMRO,REPORTING,9/17/2021 0:00,54807381,28543478,145.215,75.628,26263903,69.588,12/14/2020 0:00,3,Pfizer BioNTech - Comirnaty
Canada,CAN,AMRO,REPORTING,9/17/2021 0:00,54807381,28543478,145.215,75.628,26263903,69.588,12/14/2020 0:00,3,SII - Covishield
Cayman Islands,CYM,AMRO,REPORTING,9/17/2021 0:00,104609,54167,159.174,82.421,50442,76.753,1/15/2021 0:00,1,Pfizer BioNTech - Comirnaty
Central African Republic,CAF,AFRO,REPORTING,9/16/2021 0:00,185678,82662,3.844,1.712,103016,2.133,3/19/2021 0:00,2,Bharat - Covaxin
Central African Republic,CAF,AFRO,REPORTING,9/16/2021 0:00,185678,82662,3.844,1.712,103016,2.133,3/19/2021 0:00,2,SII - Covishield
Chad,TCD,AFRO,REPORTING,9/19/2021 0:00,123052,98213,0.749,0.598,24839,0.151,6/4/2021 0:00,1,Beijing CNBG - BBIBP-CorV
Chile,CHL,AMRO,REPORTING,9/17/2021 0:00,30673101,14632278,160.456,76.544,13994080,73.205,12/21/2020 0:00,4,AstraZeneca - Vaxzevria
Chile,CHL,AMRO,REPORTING,9/17/2021 0:00,30673101,14632278,160.456,76.544,13994080,73.205,12/21/2020 0:00,4,CanSino - Ad5-nCOV
Chile,CHL,AMRO,REPORTING,9/17/2021 0:00,30673101,14632278,160.456,76.544,13994080,73.205,12/21/2020 0:00,4,Pfizer BioNTech - Comirnaty
Chile,CHL,AMRO,REPORTING,9/17/2021 0:00,30673101,14632278,160.456,76.544,13994080,73.205,12/21/2020 0:00,4,Sinovac - CoronaVac
China,CHN,WPRO,REPORTING,9/10/2021 0:00,2143864359,1099627432,145.714,74.739,973716927,66.181,7/22/2020 0:00,6,Anhui ZL - Recombinant
