COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,VACCINES_USED
Ghana,GHA,AFRO,REPORTING,9/20/2021 0:00,1623582,865422,5.225,2.785,758160,2.44,3/2/2021 0:00,2,Gamaleya - Sputnik V
Ghana,GHA,AFRO,REPORTING,9/20/2021 0:00,1623582,865422,5.225,2.785,758160,2.44,3/2/2021 0:00,2,SII - Covishield
Gibraltar,GIB,EURO,OWID,9/21/2021 0:00,79335,39872,235.478,118.346,39463,117.132,,1,Pfizer BioNTech - Comirnaty
Greece,GRC,EURO,OWID,9/21/2021 0:00,11934359,6384199,111.343,59.562,5976351,55.757,,4,Janssen - Ad26.COV 2.5
Greece,GRC,EURO,OWID,9/21/2021 0:00,11934359,6384199,111.343,59.562,5976351,55.757,,4,Moderna - mRNA-1273
Greece,GRC,EURO,OWID,9/21/2021 0:00,11934359,6384199,111.343,59.562,5976351,55.757,,4,AstraZeneca - AZD1222
Greece,GRC,EURO,OWID,9/21/2021 0:00,11934359,6384199,111.343,59.562,5976351,55.757,,4,Pfizer BioNTech - Comirnaty
Greenland,GRL,EURO,OWID,9/20/2021 0:00,76879,40955,135.417,72.139,35924,63.278,,1,Moderna - mRNA-1273
Grenada,GRD,AMRO,REPORTING,9/17/2021 0:00,51610,30783,45.866,27.357,20827,18.509,2/15/2021 0:00,3,AstraZeneca - Vaxzevria
Grenada,GRD,AMRO,REPORTING,9/17/2021 0:00,51610,30783,45.866,27.357,20827,18.509,2/15/2021 0:00,3,Pfizer BioNTech - Comirnaty
Grenada,GRD,AMRO,REPORTING,9/17/2021 0:00,51610,30783,45.866,27.357,20827,18.509,2/15/2021 0:00,3,SII - Covishield
Guadeloupe,GLP,AMRO,REPORTING,9/17/2021 0:00,201607,121444,50.386,30.352,79601,19.894,1/8/2021 0:00,5,AstraZeneca - Vaxzevria
Guadeloupe,GLP,AMRO,REPORTING,9/17/2021 0:00,201607,121444,50.386,30.352,79601,19.894,1/8/2021 0:00,5,Moderna - mRNA-1273
Guadeloupe,GLP,AMRO,REPORTING,9/17/2021 0:00,201607,121444,50.386,30.352,79601,19.894,1/8/2021 0:00,5,Pfizer BioNTech - Comirnaty
Guam,GUM,WPRO,REPORTING,9/14/2021 0:00,220574,122191,130.691,72.399,107124,63.471,1/4/2021 0:00,3,Janssen - Ad26.COV 2.5
Guam,GUM,WPRO,REPORTING,9/14/2021 0:00,220574,122191,130.691,72.399,107124,63.471,1/4/2021 0:00,3,Moderna - mRNA-1273
Guam,GUM,WPRO,REPORTING,9/14/2021 0:00,220574,122191,130.691,72.399,107124,63.471,1/4/2021 0:00,3,Pfizer BioNTech - Comirnaty
Guatemala,GTM,AMRO,REPORTING,9/17/2021 0:00,5862778,3963266,32.724,22.122,1899512,10.603,2/25/2021 0:00,5,AstraZeneca - Vaxzevria
