Country_Region,Lat,Long,Population,Date,Vaccinations
Afghanistan,33.9391,67.71,38928341,5/25/2021,573277
Afghanistan,33.9391,67.71,38928341,5/26/2021,590454
Afghanistan,33.9391,67.71,38928341,5/27/2021,590454
Afghanistan,33.9391,67.71,38928341,5/28/2021,590454
Afghanistan,33.9391,67.71,38928341,5/29/2021,593313
Afghanistan,33.9391,67.71,38928341,5/30/2021,593313
Afghanistan,33.9391,67.71,38928341,5/31/2021,600152
Afghanistan,33.9391,67.71,38928341,6/1/2021,600152
Afghanistan,33.9391,67.71,38928341,6/2/2021,626290
Afghanistan,33.9391,67.71,38928341,6/3/2021,626290
Afghanistan,33.9391,67.71,38928341,6/4/2021,626290
Afghanistan,33.9391,67.71,38928341,6/5/2021,626290
Afghanistan,33.9391,67.71,38928341,6/6/2021,630305
Afghanistan,33.9391,67.71,38928341,6/7/2021,630305
Afghanistan,33.9391,67.71,38928341,6/8/2021,641295
Afghanistan,33.9391,67.71,38928341,6/9/2021,641295
Afghanistan,33.9391,67.71,38928341,6/10/2021,641295
Afghanistan,33.9391,67.71,38928341,6/11/2021,641295
Afghanistan,33.9391,67.71,38928341,6/12/2021,641295
Afghanistan,33.9391,67.71,38928341,6/13/2021,641295
Afghanistan,33.9391,67.71,38928341,6/14/2021,662003
Afghanistan,33.9391,67.71,38928341,6/15/2021,662003
Afghanistan,33.9391,67.71,38928341,6/16/2021,662003
Afghanistan,33.9391,67.71,38928341,6/17/2021,662003
Afghanistan,33.9391,67.71,38928341,6/18/2021,662003
Afghanistan,33.9391,67.71,38928341,6/19/2021,662003
Afghanistan,33.9391,67.71,38928341,6/20/2021,662003
Afghanistan,33.9391,67.71,38928341,6/21/2021,662003
Afghanistan,33.9391,67.71,38928341,6/22/2021,765890
Afghanistan,33.9391,67.71,38928341,6/23/2021,765890
Afghanistan,33.9391,67.71,38928341,6/24/2021,765890
Afghanistan,33.9391,67.71,38928341,6/25/2021,765890
Afghanistan,33.9391,67.71,38928341,6/26/2021,765890
Afghanistan,33.9391,67.71,38928341,6/27/2021,765890
Afghanistan,33.9391,67.71,38928341,6/28/2021,835694
Afghanistan,33.9391,67.71,38928341,6/29/2021,835694
Afghanistan,33.9391,67.71,38928341,6/30/2021,886854
Afghanistan,33.9391,67.71,38928341,7/1/2021,886854
Afghanistan,33.9391,67.71,38928341,7/2/2021,886854
Afghanistan,33.9391,67.71,38928341,7/3/2021,886854
Afghanistan,33.9391,67.71,38928341,7/4/2021,886854
Afghanistan,33.9391,67.71,38928341,7/5/2021,915671
Afghanistan,33.9391,67.71,38928341,7/6/2021,915671
Afghanistan,33.9391,67.71,38928341,7/7/2021,934463
Afghanistan,33.9391,67.71,38928341,7/8/2021,934463
Afghanistan,33.9391,67.71,38928341,7/9/2021,934463
Afghanistan,33.9391,67.71,38928341,7/10/2021,934463
Afghanistan,33.9391,67.71,38928341,7/11/2021,934463
Afghanistan,33.9391,67.71,38928341,7/12/2021,962093
Afghanistan,33.9391,67.71,38928341,7/13/2021,962093
Afghanistan,33.9391,67.71,38928341,7/14/2021,1024168
Afghanistan,33.9391,67.71,38928341,7/15/2021,1024168
Afghanistan,33.9391,67.71,38928341,7/16/2021,1024168
Afghanistan,33.9391,67.71,38928341,7/17/2021,1024168
Afghanistan,33.9391,67.71,38928341,7/18/2021,1024168
Afghanistan,33.9391,67.71,38928341,7/19/2021,1094257
Afghanistan,33.9391,67.71,38928341,7/20/2021,1094257
Afghanistan,33.9391,67.71,38928341,7/21/2021,1094257
Afghanistan,33.9391,67.71,38928341,7/22/2021,1094257
Afghanistan,33.9391,67.71,38928341,7/23/2021,1094257
Afghanistan,33.9391,67.71,38928341,7/24/2021,1094257
Afghanistan,33.9391,67.71,38928341,7/25/2021,1171064
Afghanistan,33.9391,67.71,38928341,7/26/2021,1171064
Afghanistan,33.9391,67.71,38928341,7/27/2021,1171064
Afghanistan,33.9391,67.71,38928341,7/28/2021,1277085
Afghanistan,33.9391,67.71,38928341,7/29/2021,1381416
Afghanistan,33.9391,67.71,38928341,7/30/2021,1381416
Afghanistan,33.9391,67.71,38928341,7/31/2021,1381416
Afghanistan,33.9391,67.71,38928341,8/1/2021,1381416
Afghanistan,33.9391,67.71,38928341,8/2/2021,1381416
Afghanistan,33.9391,67.71,38928341,8/3/2021,1442250
Afghanistan,33.9391,67.71,38928341,8/4/2021,1442250
Afghanistan,33.9391,67.71,38928341,8/5/2021,1442250
Afghanistan,33.9391,67.71,38928341,8/6/2021,1442250
