Country_Region,Lat,Long,Date,Recovered
Afghanistan,33.93911,67.709953,5/7/2020,468
Afghanistan,33.93911,67.709953,5/8/2020,472
Afghanistan,33.93911,67.709953,5/9/2020,502
Afghanistan,33.93911,67.709953,5/10/2020,558
Afghanistan,33.93911,67.709953,5/11/2020,558
Afghanistan,33.93911,67.709953,5/12/2020,610
Afghanistan,33.93911,67.709953,5/13/2020,648
Afghanistan,33.93911,67.709953,5/14/2020,691
Afghanistan,33.93911,67.709953,5/15/2020,745
Afghanistan,33.93911,67.709953,5/16/2020,745
Afghanistan,33.93911,67.709953,5/17/2020,778
Afghanistan,33.93911,67.709953,5/18/2020,801
Afghanistan,33.93911,67.709953,5/19/2020,850
Afghanistan,33.93911,67.709953,5/20/2020,930
Afghanistan,33.93911,67.709953,5/21/2020,938
Afghanistan,33.93911,67.709953,5/22/2020,996
Afghanistan,33.93911,67.709953,5/23/2020,1040
Afghanistan,33.93911,67.709953,5/24/2020,1075
Afghanistan,33.93911,67.709953,5/25/2020,1097
Afghanistan,33.93911,67.709953,5/26/2020,1128
Afghanistan,33.93911,67.709953,5/27/2020,1138
Afghanistan,33.93911,67.709953,5/28/2020,1209
Afghanistan,33.93911,67.709953,5/29/2020,1259
Afghanistan,33.93911,67.709953,5/30/2020,1303
Afghanistan,33.93911,67.709953,5/31/2020,1328
Afghanistan,33.93911,67.709953,6/1/2020,1428
Afghanistan,33.93911,67.709953,6/2/2020,1450
Afghanistan,33.93911,67.709953,6/3/2020,1522
Afghanistan,33.93911,67.709953,6/4/2020,1585
Afghanistan,33.93911,67.709953,6/5/2020,1762
Afghanistan,33.93911,67.709953,6/6/2020,1830
Afghanistan,33.93911,67.709953,6/7/2020,1875
Afghanistan,33.93911,67.709953,6/8/2020,2171
Afghanistan,33.93911,67.709953,6/9/2020,2651
Afghanistan,33.93911,67.709953,6/10/2020,3013
Afghanistan,33.93911,67.709953,6/11/2020,3326
Afghanistan,33.93911,67.709953,6/12/2020,3928
Afghanistan,33.93911,67.709953,6/13/2020,4201
Afghanistan,33.93911,67.709953,6/14/2020,4725
Afghanistan,33.93911,67.709953,6/15/2020,5164
Afghanistan,33.93911,67.709953,6/16/2020,5508
Afghanistan,33.93911,67.709953,6/17/2020,6158
Afghanistan,33.93911,67.709953,6/18/2020,7660
Afghanistan,33.93911,67.709953,6/19/2020,7962
Afghanistan,33.93911,67.709953,6/20/2020,8292
Afghanistan,33.93911,67.709953,6/21/2020,8764
Afghanistan,33.93911,67.709953,6/22/2020,8841
Afghanistan,33.93911,67.709953,6/23/2020,9260
Afghanistan,33.93911,67.709953,6/24/2020,9869
Afghanistan,33.93911,67.709953,6/25/2020,10174
Afghanistan,33.93911,67.709953,6/26/2020,10306
Afghanistan,33.93911,67.709953,6/27/2020,10674
Afghanistan,33.93911,67.709953,6/28/2020,12604
Afghanistan,33.93911,67.709953,6/29/2020,13934
Afghanistan,33.93911,67.709953,6/30/2020,14131
Afghanistan,33.93911,67.709953,7/1/2020,15651
Afghanistan,33.93911,67.709953,7/2/2020,16041
Afghanistan,33.93911,67.709953,7/3/2020,17331
