Country_Region,Lat,Long,Date,Year,Month,Vaccinations
Afghanistan,33.9391,67.71,2021-05-11 00:00:00,2021,May,0.0
Afghanistan,33.9391,67.71,2021-05-12 00:00:00,2021,May,264502.0
Afghanistan,33.9391,67.71,2021-05-13 00:00:00,2021,May,0.0
Afghanistan,33.9391,67.71,2021-05-14 00:00:00,2021,May,0.0
Afghanistan,33.9391,67.71,2021-05-15 00:00:00,2021,May,0.0
Afghanistan,33.9391,67.71,2021-05-16 00:00:00,2021,May,0.0
Afghanistan,33.9391,67.71,2021-05-17 00:00:00,2021,May,0.0
Afghanistan,33.9391,67.71,2021-05-18 00:00:00,2021,May,0.0
Afghanistan,33.9391,67.71,2021-05-19 00:00:00,2021,May,0.0
Afghanistan,33.9391,67.71,2021-05-20 00:00:00,2021,May,0.0
Afghanistan,33.9391,67.71,2021-05-21 00:00:00,2021,May,43399.0
Afghanistan,33.9391,67.71,2021-05-22 00:00:00,2021,May,0.0
Afghanistan,33.9391,67.71,2021-05-23 00:00:00,2021,May,0.0
Afghanistan,33.9391,67.71,2021-05-24 00:00:00,2021,May,25376.0
Afghanistan,33.9391,67.71,2021-05-25 00:00:00,2021,May,0.0
Afghanistan,33.9391,67.71,2021-05-26 00:00:00,2021,May,17177.0
Afghanistan,33.9391,67.71,2021-05-27 00:00:00,2021,May,0.0
Afghanistan,33.9391,67.71,2021-05-28 00:00:00,2021,May,0.0
Afghanistan,33.9391,67.71,2021-05-29 00:00:00,2021,May,2859.0
Afghanistan,33.9391,67.71,2021-05-30 00:00:00,2021,May,0.0
Afghanistan,33.9391,67.71,2021-05-31 00:00:00,2021,May,6839.0
Afghanistan,33.9391,67.71,2021-06-01 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-02 00:00:00,2021,June,26138.0
Afghanistan,33.9391,67.71,2021-06-03 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-04 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-05 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-06 00:00:00,2021,June,4015.0
Afghanistan,33.9391,67.71,2021-06-07 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-08 00:00:00,2021,June,10990.0
Afghanistan,33.9391,67.71,2021-06-09 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-10 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-11 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-12 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-13 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-14 00:00:00,2021,June,20708.0
Afghanistan,33.9391,67.71,2021-06-15 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-16 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-17 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-18 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-19 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-20 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-21 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-22 00:00:00,2021,June,103887.0
Afghanistan,33.9391,67.71,2021-06-23 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-24 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-25 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-26 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-27 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-28 00:00:00,2021,June,69804.0
Afghanistan,33.9391,67.71,2021-06-29 00:00:00,2021,June,0.0
Afghanistan,33.9391,67.71,2021-06-30 00:00:00,2021,June,51160.0
Afghanistan,33.9391,67.71,2021-07-01 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-02 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-03 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-04 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-05 00:00:00,2021,July,28817.0
Afghanistan,33.9391,67.71,2021-07-06 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-07 00:00:00,2021,July,18792.0
Afghanistan,33.9391,67.71,2021-07-08 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-09 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-10 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-11 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-12 00:00:00,2021,July,27630.0
Afghanistan,33.9391,67.71,2021-07-13 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-14 00:00:00,2021,July,62075.0
Afghanistan,33.9391,67.71,2021-07-15 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-16 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-17 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-18 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-19 00:00:00,2021,July,70089.0
Afghanistan,33.9391,67.71,2021-07-20 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-21 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-22 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-23 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-24 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-25 00:00:00,2021,July,76807.0
Afghanistan,33.9391,67.71,2021-07-26 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-27 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-28 00:00:00,2021,July,106021.0
Afghanistan,33.9391,67.71,2021-07-29 00:00:00,2021,July,104331.0
Afghanistan,33.9391,67.71,2021-07-30 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-07-31 00:00:00,2021,July,0.0
Afghanistan,33.9391,67.71,2021-08-01 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-02 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-03 00:00:00,2021,August,60834.0
Afghanistan,33.9391,67.71,2021-08-04 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-05 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-06 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-07 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-08 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-09 00:00:00,2021,August,324989.0
Afghanistan,33.9391,67.71,2021-08-10 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-11 00:00:00,2021,August,42278.0
Afghanistan,33.9391,67.71,2021-08-12 00:00:00,2021,August,0.0
