row_names,id,security_name,ticker,sp500_weight,sec_type,major_asset_class,minor_asset_class
186,186,Realty Income Corporation,O,0.11824,common_share,equity,large_cap
279,279,Old Dominion Freight Line Inc.,ODFL,0.07172,common_share,equity,large_cap
261,261,ONEOK Inc.,OKE,0.08042,common_share,equity,large_cap
238,238,ON Semiconductor Corporation,ON,0.09079,common_share,equity,large_cap
65,65,Oracle Corporation,ORCL,0.34742,common_share,equity,large_cap
153,153,O'Reilly Automotive Inc.,ORLY,0.14182,common_share,equity,large_cap
235,235,Otis Worldwide Corporation,OTIS,0.09158,common_share,equity,large_cap
131,131,Occidental Petroleum Corporation,OXY,0.17037,common_share,equity,large_cap
449,452,Palo Alto Networks,PANW,,common_share,equity,
349,349,Paycom Software Inc.,PAYC,0.05157,common_share,equity,large_cap
187,187,Paychex Inc.,PAYX,0.11801,common_share,equity,large_cap
243,243,PACCAR Inc,PCAR,0.08821,common_share,equity,large_cap
370,370,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,PDBC,,etf,commodities,precious_metals
448,451,Pinduoduo Inc',PDD,,common_share,equity,small_cap
213,213,Public Service Enterprise Group Inc,PEG,0.10102,common_share,equity,large_cap
24,24,PepsiCo Inc.,PEP,0.7071,common_share,equity,large_cap
19,19,Pfizer Inc.,PFE,0.78236,common_share,equity,large_cap
344,344,Principal Financial Group Inc.,PFG,0.05345,common_share,equity,large_cap
427,428,Simplify Interest Rate Hedge ETF,PFIX,,etf,alternatives,
14,14,Procter & Gamble Company,PG,0.97963,common_share,equity,large_cap
99,99,Progressive Corporation,PGR,0.22384,common_share,equity,large_cap
206,206,Parker-Hannifin Corporation,PH,0.10436,common_share,equity,large_cap
348,348,PerkinElmer Inc.,PKI,0.0516,common_share,equity,large_cap
78,78,Prologis Inc.,PLD,0.27959,common_share,equity,large_cap
43,43,Philip Morris International Inc.,PM,0.43899,common_share,equity,large_cap
109,109,PNC Financial Services Group Inc.,PNC,0.19948,common_share,equity,large_cap
394,394,Global X Cannabis ETF,POTX,,etf,commodities,cannabis
242,242,PPG Industries Inc.,PPG,0.08923,common_share,equity,large_cap
302,302,PPL Corporation,PPL,0.06565,common_share,equity,large_cap
381,381,abrdn Physical Platinum Shares ETF,PPLT,,etf,commodities,precious_metals
198,198,Prudential Financial Inc.,PRU,0.10804,common_share,equity,large_cap
146,146,Public Storage,PSA,0.15351,common_share,equity,large_cap
182,182,Phillips 66,PSX,0.12244,common_share,equity,large_cap
315,315,Quanta Services Inc.,PWR,0.0617,common_share,equity,large_cap
144,144,Pioneer Natural Resources Company,PXD,0.15624,common_share,equity,large_cap
68,68,PayPal Holdings Inc.,PYPL,0.33097,common_share,equity,large_cap
422,423,IQ Hedge Multi-Strategy Tracker ETF,QAI,,etf,alternatives,
46,46,QUALCOMM Incorporated,QCOM,0.42741,common_share,equity,large_cap
98,98,Regeneron Pharmaceuticals Inc.,REGN,0.22679,common_share,equity,large_cap
313,313,Regions Financial Corporation,RF,0.06214,common_share,equity,large_cap
436,438,ProShares Inflation Expectations ETF,RINF,,etf,alternatives,
314,314,Raymond James Financial Inc.,RJF,0.06186,common_share,equity,large_cap
426,427,SPDR SSgA Multi-Asset Real Return ETF,RLY,,etf,alternatives,
214,214,ResMed Inc.,RMD,0.10068,common_share,equity,large_cap
254,254,Rockwell Automation Inc.,ROK,0.08362,common_share,equity,large_cap
170,170,Roper Technologies Inc.,ROP,0.12799,common_share,equity,large_cap
223,223,Ross Stores Inc.,ROST,0.09672,common_share,equity,large_cap
236,236,Republic Services Inc.,RSG,0.09153,common_share,equity,large_cap
55,55,Raytheon Technologies Corporation,RTX,0.38166,common_share,equity,large_cap
203,203,SBA Communications Corp. Class A,SBAC,0.10616,common_share,equity,large_cap
71,71,Starbucks Corporation,SBUX,0.30397,common_share,equity,large_cap
363,363,Shwab 5-10 year corporate bond,SCHI,,etf,fixed income,mid-term-corporate
419,420,Schwab U.S. TIPS ETF,SCHP,,etf,fixed_income,
69,69,Charles Schwab Corp,SCHW,0.32678,common_share,equity,large_cap
389,389,ProShares UltraShort Bloomberg Crude Oil,SCO,,etf,commodities,oil
350,350,SolarEdge Technologies Inc.,SEDG,0.05153,common_share,equity,large_cap
374,374,abrdn Physical Gold Shares ETF,SGOL,,etf,commodities,precious_metals
408,409,iShares Short Treasury Bond ETF,SHV,,etf,fixed_income,
130,130,Sherwin-Williams Company,SHW,0.17104,common_share,equity,large_cap
406,407,iShares 1-3 Year Treasury Bond ETF,SHY,,etf,fixed_income,
281,281,SVB Financial Group,SIVB,0.0714,common_share,equity,large_cap
385,385,abrdn Physical Silver Shares ETF,SIVR,,etf,commodities,silver
138,138,Schlumberger NV,SLB,0.15979,common_share,equity,large_cap
369,369,iShares Silver Trust,SLV,,etf,commodities,gold
445,448,Snowflake,SNOW,,common_share,equity,small_cap
147,147,Synopsys Inc.,SNPS,0.15128,common_share,equity,large_cap
86,86,Southern Company,SO,0.24858,common_share,equity,large_cap
219,219,Simon Property Group Inc.,SPG,0.09917,common_share,equity,large_cap
57,57,S&P Global Inc.,SPGI,0.37734,common_share,equity,large_cap
450,453,SPDR SANDP500,SPY,,etf,equity,large_cap
137,137,Sempra Energy,SRE,0.16098,common_share,equity,large_cap
319,319,STERIS Plc,STE,0.06058,common_share,equity,large_cap
263,263,State Street Corporation,STT,0.07754,common_share,equity,large_cap
184,184,Constellation Brands Inc. Class A,STZ,0.1202,common_share,equity,large_cap
444,446,-1x Short VIX Futures ETF,SVIX,,etf,alternatives,
104,104,Stryker Corporation,SYK,0.21845,common_share,equity,large_cap
178,178,Sysco Corporation,SYY,0.12437,common_share,equity,large_cap
62,62,AT&T Inc.,T,0.35557,common_share,equity,large_cap
225,225,TransDigm Group Incorporated,TDG,0.09581,common_share,equity,large_cap
347,347,Teledyne Technologies Incorporated,TDY,0.05227,common_share,equity,large_cap
181,181,TE Connectivity Ltd.,TEL,0.12277,common_share,equity,large_cap
114,114,Truist Financial Corporation,TFC,0.18876,common_share,equity,large_cap
94,94,Target Corporation,TGT,0.23543,common_share,equity,large_cap
396,396,Cannabis ETF,THCX,,etf,commodities,cannabis
404,405,iShares TIPS Bond ETF,TIP,,etf,fixed_income,
95,95,TJX Companies Inc,TJX,0.2312,common_share,equity,large_cap
407,408,iShares 20+ Year Treasury Bond ETF,TLT,,etf,fixed_income,
26,26,Thermo Fisher Scientific Inc.,TMO,0.65688,common_share,equity,large_cap
83,83,T-Mobile US Inc.,TMUS,0.25366,common_share,equity,large_cap
397,397,Cambria Cannabis ETF,TOKE,,etf,commodities,cannabis
256,256,T. Rowe Price Group,TROW,0.08241,common_share,equity,large_cap
188,188,Travelers Companies Inc.,TRV,0.11721,common_share,equity,large_cap
296,296,Tractor Supply Company,TSCO,0.06724,common_share,equity,large_cap
